Year,Année,ISO,Jurisdiction,Juridiction,Product,Produit,Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),,n,,n
1991,1991,ON,Ontario,Ontario,Other insecticides,Autres insecticides,1152,a,1152,a
1991,1991,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),90055,a,90055,a
1991,1991,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),137633,a,137633,a
1991,1991,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,SK,Saskatchewan,Saskatchewan,Fenitrothion,Fénitrothion,0,a,0,a
1991,1991,SK,Saskatchewan,Saskatchewan,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,YT,Yukon,Yukon,Other insecticides,Autres insecticides,0,a,0,a
1991,1991,YT,Yukon,Yukon,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1991,1991,YT,Yukon,Yukon,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),35100,a,35100,a
1992,1992,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),37467,a,37467,a
1992,1992,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,1573,a,1573,a
1992,1992,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
