Year,Année,ISO,Jurisdiction,Juridiction,Revenues,Revenus,Value (dollars),Data qualifier,Valeur (en dollar),Qualificatifs de données
1991,1991,AB,Alberta,Alberta,Protection fees,Coût de protection du territoire,,n,,n
1991,1991,AB,Alberta,Alberta,Stumpage charges,Droits de coupe,,u,,u
1991,1991,AB,Alberta,Alberta,Rent charges,Frais de location,,n,,n
1991,1991,BC,British Columbia,Colombie-Britannique,Stumpage charges,Droits de coupe,567264000,a,567264000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Rent charges,Frais de location,17046000,a,17046000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Area/holding charges,Droits de location ou de jouissance,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,Reforestation levies,Droits de reboisement,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,Protection fees,Coût de protection du territoire,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",11272000,a,11272000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Sales and rentals,Ventes et locations,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",1328000,a,1328000,a
1991,1991,MB,Manitoba,Manitoba,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Sales and rentals,Ventes et locations,154000,a,154000,a
1991,1991,MB,Manitoba,Manitoba,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",41000,a,41000,a
1991,1991,MB,Manitoba,Manitoba,Protection fees,Coût de protection du territoire,107000,a,107000,a
1991,1991,MB,Manitoba,Manitoba,Reforestation levies,Droits de reboisement,122000,a,122000,a
1991,1991,MB,Manitoba,Manitoba,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Rent charges,Frais de location,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Stumpage charges,Droits de coupe,1624000,a,1624000,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Sales and rentals,Ventes et locations,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Protection fees,Coût de protection du territoire,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Rent charges,Frais de location,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Stumpage charges,Droits de coupe,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",3000,a,3000,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,6000,a,6000,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",204000,a,204000,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Rent charges,Frais de location,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1104000,a,1104000,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Sales and rentals,Ventes et locations,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Protection fees,Coût de protection du territoire,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Rent charges,Frais de location,0,a,0,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Stumpage charges,Droits de coupe,2056000,a,2056000,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Reforestation levies,Droits de reboisement,,u,,u
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Area/holding charges,Droits de location ou de jouissance,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Rent charges,Frais de location,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Stumpage charges,Droits de coupe,,u,,u
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Protection fees,Coût de protection du territoire,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Sales and rentals,Ventes et locations,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1991,1991,ON,Ontario,Ontario,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",313000,a,313000,a
1991,1991,ON,Ontario,Ontario,Sales and rentals,Ventes et locations,0,a,0,a
1991,1991,ON,Ontario,Ontario,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",1000,a,1000,a
1991,1991,ON,Ontario,Ontario,Protection fees,Coût de protection du territoire,0,a,0,a
1991,1991,ON,Ontario,Ontario,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,ON,Ontario,Ontario,Area/holding charges,Droits de location ou de jouissance,10304000,a,10304000,a
1991,1991,ON,Ontario,Ontario,Rent charges,Frais de location,0,a,0,a
1991,1991,ON,Ontario,Ontario,Stumpage charges,Droits de coupe,56131000,a,56131000,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",28000,a,28000,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Sales and rentals,Ventes et locations,,s,,s
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Protection fees,Coût de protection du territoire,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Reforestation levies,Droits de reboisement,58000,a,58000,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Rent charges,Frais de location,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Stumpage charges,Droits de coupe,90000,a,90000,a
1991,1991,QC,Quebec,Québec,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",1030000,a,1030000,a
1991,1991,QC,Quebec,Québec,Sales and rentals,Ventes et locations,104000,a,104000,a
1991,1991,QC,Quebec,Québec,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",245000,a,245000,a
1991,1991,QC,Quebec,Québec,Protection fees,Coût de protection du territoire,0,a,0,a
1991,1991,QC,Quebec,Québec,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,QC,Quebec,Québec,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,QC,Quebec,Québec,Rent charges,Frais de location,0,a,0,a
1991,1991,QC,Quebec,Québec,Stumpage charges,Droits de coupe,66209000,a,66209000,a
